title,url,session,session_url,sessionid,talkid
8:00 AM 121d Development of Continuous Homogeneous Hydrogenation Process for Pharmaceuticals Using a Flow Reactor,/aiche2020/event/283ce3bcb18028bc8c82272abb950785,Continuous Processing in Drug Substance Development and Manufacturing,/aiche2020/event/97352d97-f49c-4cbd-9c58-bbb2c0d39cbb,6,3.0
8:00 AM 121e Liquid Phase Peptide Synthesis Via Nanostar-Sieving,/aiche2020/event/283ce3bcb18028bc8c82272abb5d1e6f,Continuous Processing in Drug Substance Development and Manufacturing,/aiche2020/event/97352d97-f49c-4cbd-9c58-bbb2c0d39cbb,6,4.0
8:00 AM 121f Liquid-Liquid Extractions in API Manufacturing Processes: Is Continuous the Way to Go?,/aiche2020/event/7d1b67152194cb166004d468df43b29e,Continuous Processing in Drug Substance Development and Manufacturing,/aiche2020/event/97352d97-f49c-4cbd-9c58-bbb2c0d39cbb,6,5.0
8:00 AM 121g Development and Process Intensification of a Three Step Continuous Flow Process for Telescoped High Energy Reactions,/aiche2020/event/283ce3bcb18028bc8c82272abb8192ba,Continuous Processing in Drug Substance Development and Manufacturing,/aiche2020/event/97352d97-f49c-4cbd-9c58-bbb2c0d39cbb,6,6.0
8:00 AM 369a Enzymatic Reactive Crystallization of Cephalexin Using Immobilized Penicillin G Acylase from E. coli,/aiche2020/event/283ce3bcb18028bc8c82272abb8da3e0,Crystallization of Pharmaceutical and Biological Molecules I,/aiche2020/event/cb510e14-f994-42bf-9a9f-9ea4b99e07f6,7,0.0
8:00 AM 369b Recrystallization Development for Small Molecule API (Active Pharmaceutical Ingredient) Islatravir,/aiche2020/event/7d1b67152194cb166004d468df5374b3,Crystallization of Pharmaceutical and Biological Molecules I,/aiche2020/event/cb510e14-f994-42bf-9a9f-9ea4b99e07f6,7,1.0
8:00 AM 369c Seeding Strategies for the Selective Crystallisation of Model Proteins,/aiche2020/event/283ce3bcb18028bc8c82272abb9306bf,Crystallization of Pharmaceutical and Biological Molecules I,/aiche2020/event/cb510e14-f994-42bf-9a9f-9ea4b99e07f6,7,2.0
8:00 AM 369d Developing a Scalable Templating-Platform for Enhancing Crystallisation of Bio-Active Proteins,/aiche2020/event/7d1b67152194cb166004d468df5ac81b,Crystallization of Pharmaceutical and Biological Molecules I,/aiche2020/event/cb510e14-f994-42bf-9a9f-9ea4b99e07f6,7,3.0
8:00 AM 369e Sensor Integrated Continuous Microfluidic Mixer for Protein Screening at Constant Supersaturation,/aiche2020/event/96868813093b2393058dcdb89ddcdb41,Crystallization of Pharmaceutical and Biological Molecules I,/aiche2020/event/cb510e14-f994-42bf-9a9f-9ea4b99e07f6,7,4.0
8:00 AM 369g Particle Size Control of a Drug Substance through Process Crystallization,/aiche2020/event/7d1b67152194cb166004d468df4eccb8,Crystallization of Pharmaceutical and Biological Molecules I,/aiche2020/event/cb510e14-f994-42bf-9a9f-9ea4b99e07f6,7,5.0
"8:00 AM 130b An Accurate, Precise, and Affordable Light Emitting Diode Spectrophotometer with a Raspberry Pi User Interface for Diabetes Testing in HondurasPresenting Author: Tanner Kontny",/aiche2020/event/74d8cf75e00c20cd8f09bd3f0e4f471d,Enabling Technologies for Drug Products and Devices,/aiche2020/event/7d1b67152194cb166004d468df45d17d,8,0.0
8:00 AM 130c Embedded Droplet Printing for Spherical Crystallization of Pharmaceuticals,/aiche2020/event/283ce3bcb18028bc8c82272abb968099,Enabling Technologies for Drug Products and Devices,/aiche2020/event/7d1b67152194cb166004d468df45d17d,8,1.0
8:00 AM 130d Heat Exchanger Model for Predicting Temperature and Dissolution of API for a High-Throughput Temperature Shift Spray Drying Process,/aiche2020/event/96868813093b2393058dcdb89dddfcdf,Enabling Technologies for Drug Products and Devices,/aiche2020/event/7d1b67152194cb166004d468df45d17d,8,2.0
8:00 AM 130e Advancing Spray Drying Process Capabilities for Low Solubility Drug Compounds By Leveraging Temperature-Shift Solubility Enhancement: A Case Study with Alectinib,/aiche2020/event/283ce3bcb18028bc8c82272abb4eaf65,Enabling Technologies for Drug Products and Devices,/aiche2020/event/7d1b67152194cb166004d468df45d17d,8,3.0
8:00 AM 130g Novel Dispensing Mechanism to Achieve Continuous Flow of Highly Cohesive Powders,/aiche2020/event/283ce3bcb18028bc8c82272abb94f5e4,Enabling Technologies for Drug Products and Devices,/aiche2020/event/7d1b67152194cb166004d468df45d17d,8,4.0
8:00 AM 144a Producing Predictive Chemical Process Models from a State of Incomplete Mechanistic Knowledge and Small Data Sets,/aiche2020/event/96868813093b2393058dcdb89de16503,"Next-Gen Manufacturing in Pharma, Food, and Bioprocessing",/aiche2020/event/921a35dc-8de3-43bb-96a3-499b7421120e,9,0.0
8:00 AM 144c Identifying the Processing Space of Continuous Granulation: A Case Study of Extended Release TabletsPresenting Author: Ahmed Zidan,/aiche2020/event/283ce3bcb18028bc8c82272abb8e5dbb,"Next-Gen Manufacturing in Pharma, Food, and Bioprocessing",/aiche2020/event/921a35dc-8de3-43bb-96a3-499b7421120e,9,1.0
8:00 AM 144d Dynamic Optimization Strategies Towards Addressing the Challenges in Protein Therapeutics,/aiche2020/event/283ce3bcb18028bc8c82272abb8e526b,"Next-Gen Manufacturing in Pharma, Food, and Bioprocessing",/aiche2020/event/921a35dc-8de3-43bb-96a3-499b7421120e,9,2.0
8:00 AM 144e Integrated Supply Chain Network Design and Inventory Management for Autologous Cell Therapy.,/aiche2020/event/283ce3bcb18028bc8c82272abb8e508a,"Next-Gen Manufacturing in Pharma, Food, and Bioprocessing",/aiche2020/event/921a35dc-8de3-43bb-96a3-499b7421120e,9,3.0
8:00 AM 144f Two-Stage Control Using Model-Based Reinforcement Learning and Predictive Control for Fed-Batch Bioreactor,/aiche2020/event/74d8cf75e00c20cd8f09bd3f0e5eafd1,"Next-Gen Manufacturing in Pharma, Food, and Bioprocessing",/aiche2020/event/921a35dc-8de3-43bb-96a3-499b7421120e,9,4.0
8:00 AM 144g Sustainable API Development: Developing a Strategy for Measuring and Reducing Environmental Impact in the Pharmaceutical Industry,/aiche2020/event/283ce3bcb18028bc8c82272abb49ac0d,"Next-Gen Manufacturing in Pharma, Food, and Bioprocessing",/aiche2020/event/921a35dc-8de3-43bb-96a3-499b7421120e,9,5.0
8:00 AM 366a Continuous Mixing Technology: The Impact of Blend Properties and Process Parameters on Mixing Performance,/aiche2020/event/7d1b67152194cb166004d468df57a789,Continuous Processing in Drug Product Development and Manufacturing,/aiche2020/event/2e915ccf-c69d-48a2-8ee8-e4d5dcd2eb54,10,0.0
8:00 AM 366b Investigation of Critical Process Parameters of Screw Elements of a Twin Screw Extruder By an Improved Simulation Method,/aiche2020/event/7d1b67152194cb166004d468df579f6d,Continuous Processing in Drug Product Development and Manufacturing,/aiche2020/event/2e915ccf-c69d-48a2-8ee8-e4d5dcd2eb54,10,1.0
8:00 AM 366c Drug Product Continuous Powder Feeding for Low-Percentage Formulation Components,/aiche2020/event/74d8cf75e00c20cd8f09bd3f0e4f7e34,Continuous Processing in Drug Product Development and Manufacturing,/aiche2020/event/2e915ccf-c69d-48a2-8ee8-e4d5dcd2eb54,10,2.0
8:00 AM 366d Stochastic Analysis and Modeling of Pharmaceutical Screw Feeder Mass Flow Rates,/aiche2020/event/96868813093b2393058dcdb89de66c0c,Continuous Processing in Drug Product Development and Manufacturing,/aiche2020/event/2e915ccf-c69d-48a2-8ee8-e4d5dcd2eb54,10,3.0
8:00 AM 366e Tablet Pan Coating Performance during Scale up and between Batch and Continuous Processes,/aiche2020/event/7d1b67152194cb166004d468df5382f1,Continuous Processing in Drug Product Development and Manufacturing,/aiche2020/event/2e915ccf-c69d-48a2-8ee8-e4d5dcd2eb54,10,4.0
8:00 AM 366f Design Method for Injectable Manufacturing Processes Considering Continuous and Batch Compounding,/aiche2020/event/74d8cf75e00c20cd8f09bd3f0e670157,Continuous Processing in Drug Product Development and Manufacturing,/aiche2020/event/2e915ccf-c69d-48a2-8ee8-e4d5dcd2eb54,10,5.0
8:00 AM 366g Efficient Production of Multi-Component Amorphous Solid Dispersions By Spray Drying,/aiche2020/event/7d1b67152194cb166004d468df4c7360,Continuous Processing in Drug Product Development and Manufacturing,/aiche2020/event/2e915ccf-c69d-48a2-8ee8-e4d5dcd2eb54,10,6.0
8:00 AM 367a Leveraging of Modeling and Automation in Development of a Control Strategy for a cGMP Buchwald-Hartwig Cross-Coupling,/aiche2020/event/96868813093b2393058dcdb89dd85164,Control Strategies in Pharmaceutical Drug Substance and Biologics Development and Manufacturing,/aiche2020/event/9ae1ca37-3e1e-482d-a260-61c057e57885,11,0.0
8:00 AM 367c Moving to a Chromatography-Free Synthesis: Establishing Product-Related and Polymeric Impurity Control Strategy during Process Development,/aiche2020/event/7d1b67152194cb166004d468df537b9f,Control Strategies in Pharmaceutical Drug Substance and Biologics Development and Manufacturing,/aiche2020/event/9ae1ca37-3e1e-482d-a260-61c057e57885,11,1.0
8:00 AM 367d Process Control Strategy Development for an Integrated Continuous Platform for Monoclonal Antibody Manufacturing,/aiche2020/event/7d1b67152194cb166004d468df48ac99,Control Strategies in Pharmaceutical Drug Substance and Biologics Development and Manufacturing,/aiche2020/event/9ae1ca37-3e1e-482d-a260-61c057e57885,11,2.0
8:00 AM 367e Modulating Antibody Glycosylation Using Traditional and PAT Methods,/aiche2020/event/96868813093b2393058dcdb89de70823,Control Strategies in Pharmaceutical Drug Substance and Biologics Development and Manufacturing,/aiche2020/event/9ae1ca37-3e1e-482d-a260-61c057e57885,11,3.0
8:00 AM 367f Model Predictive in Vitro Dissolution Testing for Real-Time Release in Pharmaceutical End-to-End Integrated Continuous Manufacturing: An Equivalence Study,/aiche2020/event/283ce3bcb18028bc8c82272abb87f709,Control Strategies in Pharmaceutical Drug Substance and Biologics Development and Manufacturing,/aiche2020/event/9ae1ca37-3e1e-482d-a260-61c057e57885,11,4.0
8:00 AM 409a Crystal Morphology Modification in a Nucleation Dominant Crystallization: A Tool from Traditional Chemistry,/aiche2020/event/283ce3bcb18028bc8c82272abb9058fa,Crystallization of Pharmaceutical and Biological Molecules II,/aiche2020/event/c9b731a7-d885-4d9a-8dff-47ca116718c5,12,0.0
8:00 AM 409b Process Development to Avoid Meta-Stable Liquid-Liquid Phase Separation during Crystallization of API,/aiche2020/event/74d8cf75e00c20cd8f09bd3f0e654597,Crystallization of Pharmaceutical and Biological Molecules II,/aiche2020/event/c9b731a7-d885-4d9a-8dff-47ca116718c5,12,1.0
8:00 AM 409c Decoupling Nucleation and Growth for Continuous Crystallization in Microfluidics,/aiche2020/event/74d8cf75e00c20cd8f09bd3f0e4e8d8d,Crystallization of Pharmaceutical and Biological Molecules II,/aiche2020/event/c9b731a7-d885-4d9a-8dff-47ca116718c5,12,2.0
8:00 AM 409d Effects of Volume Reduction on Glycine Nucleation,/aiche2020/event/283ce3bcb18028bc8c82272abb5cc05b,Crystallization of Pharmaceutical and Biological Molecules II,/aiche2020/event/c9b731a7-d885-4d9a-8dff-47ca116718c5,12,3.0
8:00 AM 409e Formation of Solid Solutions As a Key Impurity Retention Mechanism in Solution Crystallization in the Presence of Structurally Similar ImpuritiesPresenting Author: Fredrik Nordstrom,/aiche2020/event/283ce3bcb18028bc8c82272abb88cf2b,Crystallization of Pharmaceutical and Biological Molecules II,/aiche2020/event/c9b731a7-d885-4d9a-8dff-47ca116718c5,12,4.0
8:00 AM 409g Design of a Continuous Crystallization for a Drug Substance Using a Dynamically Mixed Reactor,/aiche2020/event/7d1b67152194cb166004d468df539c3b,Crystallization of Pharmaceutical and Biological Molecules II,/aiche2020/event/c9b731a7-d885-4d9a-8dff-47ca116718c5,12,5.0
8:00 AM 259a Diffusion Growth Mechanism of Five-Fold Twinned Ag Nanowire,/aiche2020/event/283ce3bcb18028bc8c82272abb8dc1fa,Nucleation and Growth I,/aiche2020/event/5c176229-c54b-44cf-9460-01b39a967387,13,0.0
8:00 AM 259b Volume Effects on Acetaminophen Nucleation through an Induction Time Approach,/aiche2020/event/7d1b67152194cb166004d468df45d8d5,Nucleation and Growth I,/aiche2020/event/5c176229-c54b-44cf-9460-01b39a967387,13,1.0
8:00 AM 259c Amorphous Intermediate States during the Precipitation of Cerium Oxalate: Towards a New Model,/aiche2020/event/283ce3bcb18028bc8c82272abb817f8d,Nucleation and Growth I,/aiche2020/event/5c176229-c54b-44cf-9460-01b39a967387,13,2.0
8:00 AM 259d Lanthanide Precipitation from Spent Ni-MH Battery Leachates: Kinetic Study and Phase Identification,/aiche2020/event/283ce3bcb18028bc8c82272abb555e6e,Nucleation and Growth I,/aiche2020/event/5c176229-c54b-44cf-9460-01b39a967387,13,3.0
8:00 AM 259e Molecular Modifiers Suppress Struvite Formation Via Unique Mechanisms,/aiche2020/event/283ce3bcb18028bc8c82272abb8db86e,Nucleation and Growth I,/aiche2020/event/5c176229-c54b-44cf-9460-01b39a967387,13,4.0
8:00 AM 259f Solvent Structuring and Viscosity Effects on Thermodynamics and Kinetics of Crystallization,/aiche2020/event/283ce3bcb18028bc8c82272abb8daceb,Nucleation and Growth I,/aiche2020/event/5c176229-c54b-44cf-9460-01b39a967387,13,5.0
8:00 AM 259g Identifying Crystal Morphologies to Optimize Growth Kinetics of Covalent Organic Frameworks – an Example of Cof-5,/aiche2020/event/283ce3bcb18028bc8c82272abb603765,Nucleation and Growth I,/aiche2020/event/5c176229-c54b-44cf-9460-01b39a967387,13,6.0
8:00 AM 25a Understanding and Predicting the Efficacy of Tailor Made Additives on the Crystallisation of p-Aminobenzoic Acid,/aiche2020/event/96868813093b2393058dcdb89ddf11b8,"Particles, Crystals and Agglomerate Formation Dynamics and Modeling",/aiche2020/event/0f43ff5e-0510-446b-803d-8a560d7b1af5,14,0.0
8:00 AM 25b Multiscale Computer Modeling to Investigate Polymeric Micelle Based Nanocarriers for Anticancer Drug Delivery,/aiche2020/event/283ce3bcb18028bc8c82272abb993d6c,"Particles, Crystals and Agglomerate Formation Dynamics and Modeling",/aiche2020/event/0f43ff5e-0510-446b-803d-8a560d7b1af5,14,1.0
8:00 AM 25c Simulation of Drying of Droplets and Its Effect on Particle's Morphology in Spray-Drying,/aiche2020/event/74d8cf75e00c20cd8f09bd3f0e532fcf,"Particles, Crystals and Agglomerate Formation Dynamics and Modeling",/aiche2020/event/0f43ff5e-0510-446b-803d-8a560d7b1af5,14,2.0
"8:00 AM 25d Population Balance Model Comparison of Growth, Secondary Nucleation By Attrition and Ripening",/aiche2020/event/283ce3bcb18028bc8c82272abb9549dc,"Particles, Crystals and Agglomerate Formation Dynamics and Modeling",/aiche2020/event/0f43ff5e-0510-446b-803d-8a560d7b1af5,14,3.0
8:00 AM 25e Solubility and Nucleation Kinetics of a Series of Representative Single and Mixed Diesel N-Alkanes in Dodecane and Toluene,/aiche2020/event/96868813093b2393058dcdb89de14ba3,"Particles, Crystals and Agglomerate Formation Dynamics and Modeling",/aiche2020/event/0f43ff5e-0510-446b-803d-8a560d7b1af5,14,4.0
