"affil","affil_id"
"nanjing normal university",217
"the university of toledo",218
"colorado school of mines",219
"university of colorado anschutz",220
"children's hospital colorado",221
"university of california, berkeley",222
"university of california at berkeley",223
"north carolina state university",224
"university at buffalo",225
"pfizer",226
"cder/fda",227
"fda/cder",228
"c-sops, rutgers university",229
"fda",230
"university of padova",231
"food and drug administration",232
"university of strathclyde",233
"university college dublin",234
"trinity college dublin",235
"university of graz",236
"airex co., ltd.",237
"sarafinas process & mixing consulting llc",238
"mixtech",239
"ohio state university",240
"usda-ars",241
"villanova university",242
"university of bath",243
"takeda pharmaceuticals international co.",244
"abbvie, inc.",245
"sanofi",246
"process systems enterprise ltd - a siemens business",247
"msd werthenstein biopharma",248
"prosensus inc.",249
"mcmaster university",250
"university of notre dame",251
"ghent university",252
"university of puerto rico at mayaguez",253
"graduate student",254
"university of alabama birmingham",255
"the university of alabama at birmingham",256
"daiichi sankyo co., ltd.",257
"patheon",258
"thermo fisher scientific",259
"national renewable energy laboratory",260
"kyma technologies",261
"saint martin's university",262
"brookhaven national laboratory",263
"forge nano inc.",264
"oregon state university",265
"bielefeld university",266
"the university of adelaide",267
"zhejiang university of technology",268
"eindhoven university of technology",269
"max planck institute for dynamics of complex technical systems",270
"eindhoven university of technolog",271
"institute of pharmaceutical sciences, department of pharmaceutical technology and biopharmacy, university of graz",272
"ioi oleo",273
"dupont n&b",274
"capscanada",275
"dupont",276
"corteva",277
"laboratorios liconsa s.a.",278
"mg2 srl",279
"dipartimento di scienze degli alimenti e del farmaco",280
"qualicaps",281
"head of r&d",282
"rcpe",283
"wuxi sta, a wuxi apptec company",284
"medicines for malaria venture (mmv)",285
"the university of new south wales",286
"university of connecticut",287
"u ghent, belgium",288
"l.b. bohle",289
"bristol myers squibb, 556 morris ave, summit nj 07901, usa",290
"prairie view a&m university",291
"vertex pharmaceuticals",292
"vertex pharmaceuticals incorporated",293
"lubrizol life science",294
"university of  michigan",295
"uc davis",296
"lawrence livermore national laboratory",297
"material flow solutions, inc.",298
"university of edinburgh",299
"the university of leeds",300
"mississippi state university",301
"idaho national laboratory",302
"corteva agriscience, a division of dowdupont",303
"gsk",304
"merck",305
"adm",306
"archer daniels midland (adm)",307
"university of surrey",308
"hovione farmaciencia sa",309
"the college of new jersey",310
"dalian university of technology",311
"federal university of são carlos",312
"texas a&m university at qatar",313
"on demand pharmaceuticals",314
"rapid",315
"dow chemical company",316
"bms",317
"novartis pharma ag",318
"hosokawa micron b.v.",319
"epsrc future cmac research hub, university of strathclyde",320
"epsrc future cmac research hub, loughborough university",321
"epsrc future cmac research hub, university of bath",322
"cmac",323
"loughborough university",324
"ucb pharma s.a. belgium",325
"process systems enterprise, inc.",326
"process systems enterprise ltd.",327
"gsk r&d",328
"universidade nova de lisboa",329
"universidade de coimbra",330
"zentiva k.s.",331
"university of california, san diego",332
"aristotle university of thessaloniki",333
"fordham university",334
"amgen, inc.",335
"university of cambridge",336
"tu dortmund",337
"eli lilly & company",338
"university of virginia",339
"rose-hulman institute of technology",340
"federal university of campina grande",341
"process control & logistics, air liquide",342
"near-miss management llc",343
"the university of pennsylvania",344
"pfizer inc",345
"amgen inc",346
"vertex",347
"fda/cder/opq/opf",348
